Plant Type,Event Start,Event End,Phase
Beets,1,10,Germination
Beets,10,68,Growth
Beets,68,68,Harvest
Kale,1,17,Germination
Kale,17,60,Growth
Kale,60,60,Harvest
Lettuce,1,10,Germination
Lettuce,10,50,Growth
Lettuce,50,50,Harvest
Parsley,1,14,Germination
Parsley,14,76,Growth
Parsley,76,76,Harvest
Radishes,1,5,Germination
Radishes,5,23,Growth
Radishes,23,23,Harvest
Spinach,1,21,Germination
Spinach,21,45,Growth
Spinach,45,45,Harvest
Watermelon,68,80,Germination
Watermelon,80,148,Growth
Watermelon,148,148,Harvest
Zucchini,51,61,Germination
Zucchini,61,102,Growth
Zucchini,102,102,Harvest
